WMoos_F5_Ms1,WMoos_F5_Ms2,WMoos_F5_Ms3,WMoos_F5_Ms4,WMoos_F5_Ms5,WMoos_F5_Ms6,WMoos_F5_Ms7,WMoos_F5_Ms8,activity
16.79934692,18.49240112,3.347015381,0.855560303,0.311767578,0.475799561,1.403686523,5.427337646,waveOut
18.82650757,24.47515869,5.897155762,1.777435303,0.872039795,1.674804688,5.62197876,18.25674438,waveOut
22.83023071,20.01037598,5.003570557,1.792510986,0.763183594,1.063568115,2.926696777,12.25189209,waveOut
23.3286438,17.72537231,3.192657471,1.138275146,0.639556885,0.532501221,1.727508545,6.478271484,waveOut
20.47109985,22.15106201,5.671081543,2.014312744,0.85043335,1.027404785,3.202850342,11.34710693,waveOut
12.65023804,10.14361572,2.475769043,1.617248535,1.114654541,1.411132813,1.759063721,3.91595459,waveOut
11.5473938,8.494293213,2.147033691,1.09866333,0.612731934,0.58215332,1.697967529,7.504974365,waveOut
14.74224854,9.377960205,3.28503418,3.299133301,1.617645264,0.558258057,1.494171143,5.126037598,waveOut
20.79266357,20.01550293,6.157531738,1.796630859,1.032348633,1.502960205,4.058013916,14.88250732,waveOut
3.09362793,1.254058838,0.363677979,4.635040283,9.88104248,6.340545654,0.681396484,2.36730957,waveIn
2.217041016,0.696136475,0.390869141,5.559753418,8.146148682,3.297607422,0.734924316,1.6043396,waveIn
3.038574219,1.195648193,0.315673828,3.371643066,6.574188232,2.696258545,0.440185547,2.634674072,waveIn
1.328948975,3.213623047,0.388397217,2.799499512,7.626831055,5.259002686,0.61239624,0.695770264,waveIn
0.656616211,0.433044434,0.172790527,3.02835083,8.598205566,2.395294189,0.357177734,1.194213867,waveIn
2.80682373,1.256439209,0.302886963,3.260192871,8.300628662,6.275604248,1.13760376,2.401794434,waveIn
1.05847168,1.0184021,0.801086426,4.777252197,14.92288208,3.730438232,0.478546143,2.133514404,waveIn
3.180084229,1.79208374,0.53817749,5.054046631,9.548156738,5.677764893,0.424438477,3.642242432,waveIn
2.686859131,0.549377441,0.23614502,2.247344971,9.678985596,9.520965576,1.35647583,1.242858887,waveIn
1.453460693,0.550994873,0.186584473,3.02456665,2.137359619,4.10458374,0.30255127,1.697814941,waveIn
2.298736572,1.169006348,0.291931152,5.239501953,6.618865967,5.004211426,1.112304688,0.921813965,waveIn
5.250793457,1.767303467,0.667602539,6.778564453,6.252685547,3.557098389,0.784545898,3.195953369,waveIn
2.701446533,0.881378174,0.380645752,5.663635254,7.690093994,5.326690674,0.670959473,1.631256104,waveIn
3.165740967,0.776062012,0.284820557,5.233856201,8.379241943,4.47479248,0.91104126,1.205413818,waveIn
1.470916748,0.529083252,0.30645752,5.420227051,4.569793701,1.991424561,0.629058838,0.370361328,waveIn
4.371551514,1.012298584,0.694549561,9.548217773,20.89532471,14.1937561,4.775878906,1.762329102,waveIn
1.941070557,0.539978027,0.330535889,4.615753174,12.18328857,9.100585938,1.417358398,1.336395264,waveIn
4.862976074,1.447967529,0.359161377,4.371520996,9.748962402,3.78427124,1.124755859,2.014648438,waveIn
2.118743896,0.820556641,0.290771484,6.899841309,7.006988525,3.905578613,0.342803955,0.663269043,waveIn
3.050140381,1.152740479,0.409332275,6.223327637,12.37414551,4.41003418,0.811096191,1.22467041,waveIn
2.502349854,0.505310059,0.288391113,5.230560303,12.89666748,6.132354736,0.605407715,1.537231445,waveIn
3.029174805,2.304748535,0.463226318,3.473754883,5.807952881,4.665985107,0.576660156,2.388092041,waveIn
1.369750977,1.652648926,0.224395752,1.296295166,4.012969971,3.104492188,0.172576904,1.515472412,waveIn
0.961883545,0.67489624,0.231109619,3.585327148,7.221008301,5.249359131,1.105529785,2.125030518,waveIn
3.276428223,4.318969727,0.291992188,2.17578125,10.34979248,3.711120605,0.559783936,1.03326416,waveIn
3.095733643,1.191833496,0.214385986,4.533599854,9.162139893,2.404022217,0.613922119,3.186706543,waveIn
2.072998047,0.848571777,0.508178711,6.123382568,11.06274414,6.143676758,3.261993408,1.954986572,waveIn
4.737426758,1.877075195,0.514221191,6.140777588,11.03341675,5.432495117,0.516174316,2.309509277,waveIn
1.468048096,0.408691406,0.241943359,2.874664307,9.817565918,5.008453369,0.799163818,1.931213379,waveIn
4.025268555,1.432556152,0.315063477,2.600463867,6.345916748,3.932678223,0.566864014,1.136322021,waveIn
0.781158447,0.263549805,0.177093506,3.751281738,7.395263672,5.1171875,0.828063965,0.564849854,waveIn
1.465118408,0.529052734,0.27520752,4.150512695,11.47732544,4.720214844,1.034210205,1.563354492,waveIn
3.559417725,1.752166748,0.350463867,2.112915039,5.774200439,2.478393555,0.394195557,0.619171143,waveIn
1.083007813,0.914306641,0.303955078,3.924591064,9.774536133,4.621032715,0.381500244,1.572601318,waveIn
