S1,S2,S3,S4,S5,S6,S7,S8,s1,s2,s3,s4,s5,s6,s7,s8,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8
-0.025369073,-0.02242862,0.016959969,0.003867216,-0.001002993,-0.003445362,0.002250726,0.007737219,-0.039674127,-0.013867163,-0.017558673,-0.129450363,-0.39385915,0.219060708,-0.001454037,0.076502424,-0.000484674,-0.012419562,0.008012551,-0.001791439,-0.014117272,0.009898545,0.033780597,0.055581869
-0.013195502,-0.00439562,-0.025243831,-0.02244381,-0.014410993,-0.014067876,-0.003971922,-6.93E-05,-0.217618433,-0.085304656,-0.065547315,-0.118652518,-0.252084333,0.085615864,-0.039061435,-0.041952049,0.002664116,-0.067149651,0.000798692,-0.002412767,-0.008017777,-0.059505323,0.178062374,0.15673831
0.011314638,0.033376395,-0.045162083,-0.031590515,-0.020811808,-0.021492024,-0.015590755,-0.010022032,-0.036280485,0.012396651,-0.007925753,0.03206867,0.034245613,-0.104290591,-0.007059744,-0.097023302,0.003633384,-0.042668549,0.002478344,0.00836227,0.017527092,-0.103127659,0.100966729,0.064267965
-0.003381111,0.035976593,-0.009952358,-0.000216403,-0.007234472,-0.015084342,-0.013738094,-0.010280499,0.168745468,0.109597625,0.052414807,0.095992197,0.11655658,0.014882896,0.107035718,0.003577975,0.007433417,-0.002240867,-0.005121446,0.011180029,0.042165955,-0.066343103,-0.054351002,-0.078307042
-0.024447042,-0.001857887,0.027521563,0.026778906,0.008596978,-0.004104734,-0.00110955,-0.00530498,0.110911292,0.054930081,0.023372024,0.024445687,-0.029938249,0.200325065,0.214787372,0.115882788,-0.008912691,0.012357363,-0.04164153,-0.016377118,0.017080816,0.008389755,-0.084170986,-0.106751649
-0.002835838,-0.026241535,0.012758586,0.004575842,0.004278407,-0.003406632,0.003152514,-0.006038652,-0.069582902,-0.071496151,-0.037921367,-0.025986597,-0.160211812,0.06907818,0.245341151,0.091807014,-0.045261428,0.006336232,-0.078003895,-0.056536207,-0.059601054,0.035922126,0.002803963,-0.034967887
0.023173324,-0.022149017,-0.027011847,-0.031225572,-0.011729987,-0.011533342,-0.004136739,-0.009204241,-0.13099101,-0.112493426,-0.039352244,0.034385593,-0.09192208,-0.166855264,0.153715309,-0.021154011,-0.043101631,-0.007505992,-0.064298421,-0.063453072,-0.107540935,0.003662923,0.079887016,0.050327663
-0.002413426,-0.022224455,-0.029669867,-0.019759609,-0.014331129,-0.015091657,-0.006720237,-0.002452154,-0.088963835,-0.058815596,-0.001553699,0.084208311,0.04785424,-0.060871427,-0.008417204,-0.085109238,0.018542571,-0.023526729,-0.0101068,-0.028065376,-0.066772894,-0.025666768,0.104173131,0.105551253
-0.040241857,-0.022034968,0.006347867,0.020291845,-0.001395222,-0.009893976,0.001392581,0.010745416,-0.076058096,-0.008023318,0.003013403,-0.017098326,-0.042942418,0.293932331,-0.031632441,-0.060642058,0.05597605,-0.028862632,0.017594567,0.00354013,0.005394674,-0.022085236,0.10128283,0.087432226
-0.020960963,0.008938247,0.02491727,0.01796135,0.005968536,-0.004695475,0.0048811,0.009406253,-0.094128812,-0.001019859,-0.01791717,-0.177821267,-0.390415281,0.457882797,0.194186762,-0.011197509,0.004676311,-0.016882338,-0.008634229,-0.003470553,0.015508228,-0.022495576,0.085914244,-0.020609628
0.025991338,0.039108073,-0.001412752,-0.032307281,-0.001187801,-0.004670419,-0.00706816,-0.014222294,-0.07819527,-0.010770006,-0.008777808,-0.153701295,-0.59853307,0.359918362,0.396187884,0.009877813,-0.05884821,-0.008346782,-0.038774949,-0.02346467,-0.026491677,-0.040891519,0.088483883,-0.107579303
0.021095065,0.010366152,-0.034322373,-0.059418642,-0.008071874,-0.00374542,-0.021144437,-0.03656492,-0.030750904,-0.02119835,0.018853144,0.093800675,-0.38007645,0.245501307,0.219872108,0.007454519,-0.030503204,-0.017944553,-0.028119534,-0.018044305,-0.038597722,-0.030448271,0.134485271,-0.053086653
-0.025467041,-0.043156554,-0.027936469,-0.027042136,-0.002670227,0.002783942,-0.018303851,-0.029333643,0.029957826,-0.022089076,0.008218761,0.273091436,-0.03481434,0.139798485,-0.197983451,0.012036493,0.049952804,-0.014666759,0.000991605,0.001690586,-0.007762487,0.022278111,0.156549245,0.051339993
-0.037574881,-0.032562937,0.007886497,0.015921679,0.006153607,0.007950437,-0.002079899,0.002350296,0.099999758,0.01100412,-0.031822685,0.135195048,-0.020899902,-0.058812952,-0.341338985,0.038512359,0.065268633,0.027633082,0.013088394,0.003094086,0.00419557,0.045994067,0.077159797,0.023631502
-0.012552944,0.027819619,0.025036691,0.017301575,0.004711267,0.002832699,0.005535627,0.023854946,0.101277698,0.054783197,-0.03743723,-0.142863679,-0.217767687,-0.15618499,-0.040176401,0.066719766,0.007910042,0.056713624,0.016059082,-0.006142954,-0.01596749,-0.009691914,-0.021795155,-0.08215963
-0.01855376,0.029015919,0.004488018,-0.005937965,-0.005240283,-0.008943534,-0.005203082,0.013911936,-0.041127429,0.035489546,-0.000165223,-0.170638535,-0.139805846,0.058932175,0.317184032,0.064352099,-0.029515907,0.000529651,0.022603751,0.00405916,-0.013008484,-0.084295488,-0.008480778,-0.050106402
-0.057784741,-0.048481272,-0.021646273,-0.010574775,-0.011842675,-0.014861025,-0.018371417,-0.010058003,-0.177777413,-0.035276594,0.027892313,0.099931508,0.188296217,0.279167019,0.385020789,0.042647596,-0.017777056,-0.102912964,0.012799301,0.02432586,0.024067285,-0.092898464,0.046592676,0.095923716
